LONGITUDE,LATITUDE,CELL_RSRP,CELL_RSRQ,CELL_SINR,CELL_CELLID,зЪЙмаЁЧјКХ,ИњзйЧјТы,ЧјЯи
121.0014658,30.07710298,-97,-12.5,1.3,152552835,152552835,26699,грвІ
121.1259641,30.00803548,-57,-10,-8,103030274,103030274,26566,грвІ
121.1259668,30.00806396,-58.88888889,-8,-12.08888889,103030274,103030274,26566,грвІ
121.157179,30.100649,-85.5,-11,0,156440963,156440963,26696,грвІ
121.157179,30.100649,-88,-11,0,103027202,103027202,26696,грвІ
121.1344195,30.03932454,-86,-15,-5,188937473,188937473,22604,грвІ
121.1483596,30.03029324,-91.33333333,-10,-3,152056196,152056196,22604,грвІ
121.0046631,30.05675076,-70,-5,0.4,156272259,156272259,26699,грвІ
121.063832,30.068189,-86,-13,1.4,156662913,156662913,26699,грвІ
121.139365,30.04432,-90,-15,-8,189040641,189040641,26562,грвІ
121.1394287,30.0442527,-90,-10,1.888888889,189047811,189047811,26564,грвІ
121.1355021,30.16608914,-85,-14,-0.6,156568194,156568194,26696,грвІ
121.2698792,30.01553738,-95.55555556,-9.777777778,2.111111111,264926088,264926088,26399,грвІ
120.9932872,30.06819363,-95,-9,2,152382081,152382081,26699,грвІ
120.9932872,30.06819363,-95,-9,2,152382083,152382083,26699,грвІ
120.9932612,30.06865343,-95,-9,2,152382083,152382083,26699,грвІ
121.1840692,30.0091314,-95.33333333,-13.66666667,-2.133333333,102914050,102914050,26566,грвІ
121.1840552,30.00911458,-94,-17,-6.6,103032579,103032579,26566,грвІ
121.1840565,30.00911241,-95,-14,-3.2,186816258,186816258,26566,грвІ
121.1097456,30.02938422,-96.33333333,-13.5,-4.2,189065474,189065474,26699,грвІ
121.1615097,30.09082669,-97,-13,0,214288963,214288963,26700,грвІ
120.9903817,30.1769892,-95,-14,2.2,186819329,186819329,22720,грвІ
121.158323,30.018504,-88,-16,-2.8,81239426,81239426,22604,грвІ
121.158323,30.018575,-91.5,-13.75,-0.6,264928389,264928389,22604,грвІ
121.1695382,30.06387426,-99,-12.66666667,1.133333333,265047174,265047174,22342,грвІ
121.169439,30.063866,-93,-13,1.4,265052292,265052292,26562,грвІ
121.0639802,30.21681755,-88.44444444,-13.11111111,2.466666667,156365186,156365186,22344,грвІ
121.050591,30.169772,-88,-13,0,209814083,209814083,22720,грвІ
121.181435,30.057203,-92.33333333,-12.33333333,-3,198051843,198051843,22342,грвІ
121.0608433,30.0941673,-99.5,-16.6,-1.72,186889219,186889219,26696,грвІ
121.158163,30.05068549,-88.5,-12,0,103003907,103003907,26562,грвІ
121.1539398,30.08069287,-98.8,-10.9,1.5,214262595,214262595,26700,грвІ
121.133989,30.153661,-93.2,-17.5,-6.92,188893698,188893698,26696,грвІ
120.996014,30.151203,-99,-10,0,152189569,152189569,22720,грвІ
121.1382346,30.01534044,-94,-12,-4,152116873,152116873,26566,грвІ
121.1382486,30.01534878,-99.5,-12,-2,152116867,152116867,26566,грвІ
121.1382589,30.01537286,-91,-12,0.5,197923586,197923586,26566,грвІ
121.1382636,30.01536757,-92,-13,-6,265130882,265130882,26566,грвІ
121.144704,30.052619,-97,-11.5,2,152055169,152055169,26562,грвІ
121.1446779,30.05254501,-97.125,-12.125,-0.55,103393025,103393025,26562,грвІ
121.163525,30.046281,-88,-6,2,193215239,193215239,26562,грвІ
121.1295451,30.04520128,-76,-11,-4,156458369,156458369,26562,грвІ
121.1295584,30.04512655,-86,-11,-4,208197189,208197189,26562,грвІ
121.1295586,30.04512641,-88,-11,-4,156458372,156458372,26562,грвІ
121.0746099,30.16228727,-99.5,-13.1,2.02,102988545,102988545,22720,грвІ
121.341923,30.02282986,-95,-15,-3.6,186878979,186878979,26399,грвІ
121.3419229,30.02283074,-93.75,-12.75,1.8,81024643,81024643,26399,грвІ
121.1209467,30.03496587,-86.6,-8.2,-1.4,214680641,214680641,26562,грвІ
121.145767,30.029335,-94,-13,-2.8,152364673,152364673,22604,грвІ
120.9975595,30.14956028,-84,-10.66666667,2.5,156897153,156897153,22720,грвІ
120.9975616,30.14955838,-84,-5,0.2,214258242,214258242,22720,грвІ
121.2541522,29.98779243,-94,-14,0.933333333,186915075,186915075,26399,грвІ
121.0622786,30.10284171,-98,-15,-1.133333333,186889218,186889218,26696,грвІ
121.0622949,30.10287923,-98,-19,-0.8,157056386,157056386,26696,грвІ
121.0622561,30.10286608,-97,-13.16666667,1.233333333,186889219,186889219,26696,грвІ
120.9738525,30.10885227,-94,-10,2,186891777,186891777,22720,грвІ
121.0456698,30.1592296,-95,-10,-4,119872963,119872963,22720,грвІ
121.099976,30.162224,-84.7,-10.3,1.7,152402055,152402055,22344,грвІ
121.2552746,30.0380739,-96.625,-13.375,0.025,152121731,152121731,26399,грвІ
121.2552749,30.03807075,-95,-9.5,1,152084355,152084355,26399,грвІ
121.3713379,29.93424072,-83,-11,-0.6,103034885,103034885,26399,грвІ
121.1555691,30.03915419,-81,-8,2,264974724,264974724,26564,грвІ
121.1545036,30.03917263,-82,-8,2,103003395,103003395,22604,грвІ
121.215933,30.032497,-99,-12.66666667,0.266666667,157055363,157055363,26399,грвІ
121.217346,30.033777,-97,-13,-0.2,157055363,157055363,26399,грвІ
121.21768,30.033659,-97,-13,-0.2,157055363,157055363,26399,грвІ
121.218164,30.03367,-97,-13,-0.2,157055363,157055363,26399,грвІ
121.115988,30.157256,-92,-14,-0.9,208764227,208764227,26696,грвІ
121.116265,30.157233,-93.6,-12.6,2.08,152553601,152553601,26696,грвІ
121.1469778,30.03923114,-95,-12.66666667,-1,156774785,156774785,26562,грвІ
121.1469705,30.03916965,-95,-14,-2,188999683,188999683,22604,грвІ
121.1469925,30.03935411,-96,-14,-5,156774785,156774785,26562,грвІ
121.1469775,30.03930718,-98,-14,-5,188999683,188999683,22604,грвІ
121.1672556,30.06748047,-96,-10.5,1,189001732,189001732,22342,грвІ
121.030421,30.168509,-97,-13,2.666666667,102986243,102986243,22720,грвІ
121.1731825,30.05477295,-93,-11,1,156611201,156611201,26562,грвІ
121.1731825,30.05477295,-99.5,-11,1,156611204,156611204,26562,грвІ
121.151371,30.162415,-88,-13,1.6,102990852,102990852,26695,грвІ
121.151371,30.162415,-88.33333333,-15.33333333,-4.2,102990849,102990849,26695,грвІ
121.0876741,30.0982565,-90.75,-13,1.925,156937347,156937347,26696,грвІ
121.087699,30.0983,-96,-13,1.6,186982403,186982403,26696,грвІ
121.09027,30.099396,-85,-11.5,2.3,186982402,186982402,26696,грвІ
121.1508889,30.05910482,-70,-7,1,103101697,103101697,26562,грвІ
121.129474,30.152291,-95.5,-11.75,2,103026435,103026435,26696,грвІ
121.1413965,30.13553711,-80,-8,2,119791809,119791809,26696,грвІ
121.1408168,30.13715441,-82,-8,2,81154178,81154178,26696,грвІ
121.1403193,30.13885281,-77,-13,-3,265050757,265050757,26696,грвІ
121.335321,30.023657,-98,-16,-0.6,156776835,156776835,26399,грвІ
121.0737153,30.07652724,-97,-13,1,152294019,152294019,26699,грвІ
121.0738468,30.07686237,-97.11111111,-11.88888889,2.333333333,152294019,152294019,26699,грвІ
121.0737702,30.07679226,-95.5,-12.6,2.48,152294019,152294019,26699,грвІ
121.169488,30.160749,-97.75,-16.75,-4.75,102993922,102993922,26695,грвІ
121.169488,30.160749,-97.5,-16,-3.9,197925122,197925122,26695,грвІ
121.174385,30.166908,-98,-17,-3.4,197925122,197925122,26695,грвІ
121.174385,30.166908,-99,-12,2,102991877,102991877,26695,грвІ
121.174385,30.166908,-98,-16,-3.8,102993922,102993922,26695,грвІ
121.0262229,30.0777266,-90.66666667,-12,2.2,265177986,265177986,26699,грвІ
121.0259497,30.07770101,-90,-14,0.6,119782593,119782593,26699,грвІ
121.100014,30.025515,-98,-12.9,2.78,186817793,186817793,26699,грвІ
121.2768629,29.97859985,-93,-11.5,1.1,156737155,156737155,26399,грвІ
121.2790736,29.9785102,-93,-13,-2.8,156737155,156737155,26399,грвІ
121.2804663,29.97855903,-93,-13,-7.2,103033345,103033345,26399,грвІ
121.115238,30.160003,-78.4,-7.4,1.8,186912003,186912003,26696,грвІ
121.0787165,30.0502665,-99.25,-13.25,0.75,186885889,186885889,26699,грвІ
121.0863312,30.05718156,-83.5,-11,0.1,186887425,186887425,26699,грвІ
121.086314,30.05689372,-87.66666667,-12.66666667,1,156777090,156777090,26699,грвІ
121.100217,30.02841,-99.4,-13.2,1.88,156774530,156774530,26699,грвІ
121.146417,30.058839,-95.33333333,-11,0.333333333,186822657,186822657,26562,грвІ
121.144273,30.058811,-92,-15,-4.2,103101698,103101698,26562,грвІ
121.1489979,30.16052002,-83,-9,1,209742153,209742153,26695,грвІ
121.1310147,30.01141113,-99,-10.5,1.8,156772998,156772998,26566,грвІ
121.1308017,30.01124013,-92.5,-14,1.4,156977801,156977801,26566,грвІ
121.1314754,30.01135227,-92,-15,-6.8,264927108,264927108,26566,грвІ
121.130552,30.011466,-90,-13,-1.4,156977795,156977795,26566,грвІ
121.130604,30.011284,-89,-14,0.2,156977795,156977795,26566,грвІ
121.1651651,30.02195245,-88,-12.5,1.6,214917698,214917698,22604,грвІ
121.1651662,30.02195407,-88,-13,-0.6,214460737,214460737,22604,грвІ
121.0634264,30.07295809,-78,-7.857142857,1.714285714,214261058,214261058,26699,грвІ
121.1626212,30.0695997,-96,-12,1.6,103009795,103009795,26700,грвІ
121.1626324,30.06953668,-97,-12.5,-0.5,214652995,214652995,22342,грвІ
121.1626438,30.06958903,-94,-11,2.6,208196420,208196420,22342,грвІ
121.1467684,30.00069065,-98,-14,0.2,156775043,156775043,26566,грвІ
121.146595,30.00053078,-98,-14,0.2,156775043,156775043,26566,грвІ
121.072328,30.24812,-99.83333333,-17.16666667,-4.066666667,156663683,156663683,22344,грвІ
121.088041,30.055542,-89.25,-10.75,2.85,186887426,186887426,26699,грвІ
121.1699442,30.02196578,-94.8,-10.9,0.88,103016705,103016705,22604,грвІ
121.092276,30.136324,-99,-13.4,1.36,186900739,186900739,26696,грвІ
121.1631754,30.06796239,-98.5,-9.5,2.5,213956931,213956931,22342,грвІ
121.1557579,30.00079527,-92.33333333,-8.333333333,1,157137795,157137795,26566,грвІ
121.1557178,30.00095513,-89,-9,1,198004995,198004995,26566,грвІ
121.1879672,30.07585661,-99.8,-12.8,1.32,214316865,214316865,22342,грвІ
121.18008,30.067141,-95,-7,2.8,208392262,208392262,22342,грвІ
121.180081,30.067044,-95,-8,1.4,208392263,208392263,22342,грвІ
121.180054,30.066922,-95,-8,1.4,208392263,208392263,22342,грвІ
121.1828137,30.06821067,-99.16666667,-9.666666667,-2.666666667,193258241,193258241,22342,грвІ
120.999397,30.184632,-98,-12,2.4,156526721,156526721,22720,грвІ
121.1502407,30.03922119,-93.5,-11.5,2.7,189041922,189041922,26564,грвІ
121.1817969,30.16525098,-90,-10.1,2.34,208658755,208658755,26695,грвІ
121.020824,30.166789,-97,-14,-1.6,156578946,156578946,22720,грвІ
121.236689,29.98879446,-86.5,-10.7,0.4,214254918,214254918,26399,грвІ
121.035396,30.163932,-94.8,-12.3,2.02,102915330,102915330,22720,грвІ
121.142901,30.039665,-96,-13,-2,152240771,152240771,26562,грвІ
121.142809,30.039409,-94.66666667,-11.66666667,1.4,103023617,103023617,22604,грвІ
121.2452779,30.00160479,-98.5,-12.8,1.34,156495233,156495233,26399,грвІ
120.941247,30.119982,-94,-14.5,-3.6,193312003,193312003,22720,грвІ
121.13665,30.05652873,-93.5,-11,2,265048198,265048198,26562,грвІ
121.1666252,30.0676161,-80,-6,1.1,189001731,189001731,22342,грвІ
