RSRP,SINR,ECI,ИњзйЧј,ЧјЯи,samples_of_tac,wgs_lon,wgs_lat,tac_cluster
-107.0,2.0,214671940,22344.0,грвІ,1021,121.07545220000002,30.2541663,22344_3
-108.0,0.0,214671940,22344.0,грвІ,1021,121.0754513,30.25416534,22344_3
-115.0,1.0,214671940,22344.0,грвІ,1021,121.07564209999998,30.2540576,22344_3
-111.0,1.0,156663682,22344.0,грвІ,1021,121.0709038,30.25183878,22344_2
-118.0,1.0,156663682,22344.0,грвІ,1021,121.0709038,30.25183878,22344_2
-116.0,0.0,156663682,22344.0,грвІ,1021,121.0709038,30.25183878,22344_2
-115.0,2.0,156663682,22344.0,грвІ,1021,121.0709038,30.25183878,22344_2
-116.0,1.0,156663682,22344.0,грвІ,1021,121.0709038,30.25183878,22344_2
-113.0,2.0,156663682,22344.0,грвІ,1021,121.0709038,30.25183878,22344_2
-109.0,0.0,156663682,22344.0,грвІ,1021,121.0709038,30.25183878,22344_2
-112.0,0.0,156663682,22344.0,грвІ,1021,121.0709038,30.25183878,22344_2
-114.0,2.0,156663682,22344.0,грвІ,1021,121.0709038,30.25183878,22344_2
-115.0,0.0,156663682,22344.0,грвІ,1021,121.0709038,30.25183878,22344_2
-116.0,0.0,156663682,22344.0,грвІ,1021,121.0709038,30.25183878,22344_2
-113.0,2.0,156663682,22344.0,грвІ,1021,121.0708019,30.25175189,22344_2
-120.0,0.0,156663682,22344.0,грвІ,1021,121.0709038,30.25183878,22344_2
-114.0,1.0,156663682,22344.0,грвІ,1021,121.0709038,30.25183878,22344_2
-115.0,2.0,156663682,22344.0,грвІ,1021,121.0709038,30.25183878,22344_2
-115.0,1.0,156663682,22344.0,грвІ,1021,121.0709038,30.25183878,22344_2
-115.0,2.0,156663682,22344.0,грвІ,1021,121.0709038,30.25183878,22344_2
-115.0,1.0,156663682,22344.0,грвІ,1021,121.0709038,30.25183878,22344_2
-122.0,0.0,156663682,22344.0,грвІ,1021,121.0709038,30.25183878,22344_2
-98.0,-4.0,186813698,22344.0,грвІ,1021,121.07529840000002,30.2538761,22344_3
-104.0,1.0,186813698,22344.0,грвІ,1021,121.0757057,30.25471224,22344_3
-97.0,-5.0,214011458,22344.0,грвІ,1021,121.0752981,30.25389973,22344_3
-96.0,-3.0,214011458,22344.0,грвІ,1021,121.0753153,30.25388499,22344_3
-116.0,0.0,214011458,22344.0,грвІ,1021,121.075428,30.25419627,22344_3
-116.0,0.0,214011458,22344.0,грвІ,1021,121.0754281,30.25419635,22344_3
-120.0,0.0,214011458,22344.0,грвІ,1021,121.0754283,30.25419606,22344_3
-109.0,2.0,214011458,22344.0,грвІ,1021,121.075425,30.25416509,22344_3
-111.0,2.0,214011458,22344.0,грвІ,1021,121.07539369999999,30.25416748,22344_3
-100.0,0.4,156603272,22344.0,грвІ,1021,121.07488439888158,30.254554682167193,22344_3
-117.0,-1.0,156603272,22344.0,грвІ,1021,121.0709038,30.25183878,22344_2
-107.0,2.0,156603272,22344.0,грвІ,1021,121.0709038,30.25183878,22344_2
-113.0,2.0,156603272,22344.0,грвІ,1021,121.0709038,30.25183878,22344_2
-100.0,-1.0,156603272,22344.0,грвІ,1021,121.07533240000001,30.25387565,22344_3
-99.0,0.0,156603272,22344.0,грвІ,1021,121.07533229999999,30.25387559,22344_3
-101.0,0.0,156603272,22344.0,грвІ,1021,121.07533159999998,30.25387626,22344_3
